ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410VAUQ	Myelin protein zero-like 3	ENSPTRP00000007439	ENSMUSP00000110311
ENOG410VAUU	lysosomal-associated membrane protein 1	ENSPTRP00000053314	ENSMUSP00000033824
ENOG410VAUT	amphiregulin	ENSPTRP00000061353	ENSMUSP00000031325
ENOG410VAUW	cathepsin	ENSPTRP00000051294, ENSPTRP00000048532, ENSPTRP00000044896	ENSMUSP00000092135, ENSMUSP00000002274, ENSMUSP00000073072, ENSMUSP00000121203
ENOG410VAUV	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	ENSPTRP00000025426	ENSMUSP00000035079
ENOG410VB07	Hematopoietically expressed homeobox	ENSPTRP00000004814	ENSMUSP00000025944
ENOG410VCE1	Guanine nucleotide binding protein (G protein), beta polypeptide 1-like	ENSPTRP00000024226	ENSMUSP00000087544
ENOG410VB03	ADAM metallopeptidase domain	ENSPTRP00000028496, ENSPTRP00000011006, ENSPTRP00000052582, ENSPTRP00000060299	ENSMUSP00000094420, ENSMUSP00000058858, ENSMUSP00000106041, ENSMUSP00000054292, ENSMUSP00000065783, ENSMUSP00000079032, ENSMUSP00000057794, ENSMUSP00000008582, ENSMUSP00000060505, ENSMUSP00000058256
ENOG410VB0M	CD96 molecule	ENSPTRP00000026236	ENSMUSP00000023336
ENOG410VB0I	Coiled-coil domain containing 51	ENSPTRP00000025682	ENSMUSP00000026735
ENOG410VB0H	Chromosome 14 open reading frame 159	ENSPTRP00000042464	ENSMUSP00000067830
ENOG410VCE9	family with sequence similarity 221, member A	ENSPTRP00000032450	ENSMUSP00000050237
ENOG410VCED	Zinc finger, CW type with PWWP domain 1	ENSPTRP00000056497	ENSMUSP00000048730
ENOG410VKK1	PRKR interacting protein 1 (IL11 inducible)	ENSPTRP00000061200	ENSMUSP00000120659
ENOG410VKK0	small nuclear RNA activating complex, polypeptide 5, 19kDa	ENSPTRP00000012304	ENSMUSP00000034965
ENOG410V7GT	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	ENSPTRP00000011599	ENSMUSP00000011302
ENOG410V7GV	olfactory receptor, family 51, subfamily D, member 1	ENSPTRP00000046798	ENSMUSP00000095821
ENOG410V7GC	leucine rich repeat neuronal	ENSPTRP00000025115, ENSPTRP00000051281, ENSPTRP00000047686	ENSMUSP00000027706, ENSMUSP00000037096, ENSMUSP00000043818
ENOG410V7GB	spastic paraplegia 11 (autosomal recessive)	ENSPTRP00000011993	ENSMUSP00000037543
ENOG410V7G0	vomeronasal 1 receptor	ENSPTRP00000060487, ENSPTRP00000060069, ENSPTRP00000060636	ENSMUSP00000079950, ENSMUSP00000134841, ENSMUSP00000094369, ENSMUSP00000132900, ENSMUSP00000073098, ENSMUSP00000135192, ENSMUSP00000078536, ENSMUSP00000135207, ENSMUSP00000071362, ENSMUSP00000077924, ENSMUSP00000135676, ENSMUSP00000087264, ENSMUSP00000078619, ENSMUSP00000052301, ENSMUSP00000135070, ENSMUSP00000134873, ENSMUSP00000129069, ENSMUSP00000087364, ENSMUSP00000134939, ENSMUSP00000071272, ENSMUSP00000076691, ENSMUSP00000135117
ENOG410VCTU	chromosome 9 open reading frame 135	ENSPTRP00000049288	ENSMUSP00000048680
ENOG410VCTZ	Protein arginine methyltransferase 2	ENSPTRP00000038922	ENSMUSP00000020452
ENOG410VCTF	centrosomal protein 104kDa	ENSPTRP00000000126	ENSMUSP00000040762
ENOG410VFM6	Activating transcription factor 5	ENSPTRP00000019455	ENSMUSP00000047771
ENOG410VFM2	chromosome 2 open reading frame 78	ENSPTRP00000060258	ENSMUSP00000094809, ENSMUSP00000103652, ENSMUSP00000133059, ENSMUSP00000131120
ENOG410VFMW	zinc finger protein 260	ENSPTRP00000059883	ENSMUSP00000052200
ENOG410VFMU	Gamma-glutamyltransferase 6	ENSPTRP00000053178	ENSMUSP00000075773
ENOG410VFMR	Coiled-coil domain containing 36	ENSPTRP00000057125	ENSMUSP00000075898
ENOG410VFMQ	nucleophosmin nucleoplasmin, 3	ENSPTRP00000005059	ENSMUSP00000069578
ENOG410VFMZ	Suppressor of cytokine signaling 3	ENSPTRP00000016513	ENSMUSP00000059129
ENOG410VFMF	claudin 14	ENSPTRP00000023909	ENSMUSP00000062045
ENOG410VFMD	Transmembrane protein 160	ENSPTRP00000019218	ENSMUSP00000019302
ENOG410VFMB	Villin-like	ENSPTRP00000025438	ENSMUSP00000061731
ENOG410VFMK	immature colon carcinoma transcript 1	ENSPTRP00000016360	ENSMUSP00000099325
ENOG410VFMH	essential meiotic endonuclease 1 homolog 2 (S. pombe)	ENSPTRP00000013001	ENSMUSP00000113936
ENOG410VJAQ	pre-B lymphocyte 3	ENSPTRP00000024367	ENSMUSP00000000926
ENOG410V5K8	Mdm4 p53 binding protein homolog (mouse)	ENSPTRP00000051283	ENSMUSP00000070411
ENOG410V5K7	glutaredoxin, cysteine rich 1	ENSPTRP00000057705	ENSMUSP00000092305
ENOG410V5K5	chromosome 12 open reading frame 55	ENSPTRP00000009046	ENSMUSP00000129517
ENOG410V5K1	Serologically defined colon cancer antigen 3	ENSPTRP00000046911	ENSMUSP00000109737
ENOG410V5K0	lysine (K)-specific demethylase	ENSPTRP00000038793, ENSPTRP00000056131, ENSPTRP00000003106	ENSMUSP00000098558, ENSMUSP00000108207, ENSMUSP00000038138
ENOG410V5KZ	Cleft lip and palate associated transmembrane protein 1	ENSPTRP00000046382, ENSPTRP00000019103	ENSMUSP00000051293, ENSMUSP00000022102
ENOG410V5KY	olfactory receptor, family 5, subfamily M, member	ENSPTRP00000006289	ENSMUSP00000058779, ENSMUSP00000054494, ENSMUSP00000078279, ENSMUSP00000130843
ENOG410V5KW	Macrophage erythroblast attacher	ENSPTRP00000027258	ENSMUSP00000110093
ENOG410V5KV	Junctophilin	ENSPTRP00000053135, ENSPTRP00000059066, ENSPTRP00000053372	ENSMUSP00000017961, ENSMUSP00000039072, ENSMUSP00000022819, ENSMUSP00000026357
ENOG410V5KU	guanine nucleotide binding protein (G protein), beta	ENSPTRP00000033383, ENSPTRP00000026924, ENSPTRP00000045189	ENSMUSP00000031726, ENSMUSP00000103869, ENSMUSP00000030940, ENSMUSP00000024206
ENOG410V5KR	IQ motif containing GTPase activating protein	ENSPTRP00000012743, ENSPTRP00000051711, ENSPTRP00000048301	ENSMUSP00000128278, ENSMUSP00000067685, ENSMUSP00000071715
ENOG410V5KQ	fibronectin type III domain containing 5	ENSPTRP00000000860	ENSMUSP00000099660
ENOG410V5KI	UDP-N-acteylglucosamine pyrophosphorylase	ENSPTRP00000002677, ENSPTRP00000048622	ENSMUSP00000027981, ENSMUSP00000099989
ENOG410V5KD	Sperm antigen with calponin homology and coiled-coil domains	ENSPTRP00000015151, ENSPTRP00000059318	ENSMUSP00000045099, ENSMUSP00000104349
ENOG410V5KC	Bcl-2-associated athanogene 5	ENSPTRP00000011531	ENSMUSP00000051049
ENOG410V57C	hypermethylated in cancer	ENSPTRP00000014579, ENSPTRP00000024302	ENSMUSP00000053483, ENSMUSP00000087656
ENOG410V57B	RAS-like, family 12	ENSPTRP00000012257	ENSMUSP00000082580
ENOG410V57A	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	ENSPTRP00000033420	ENSMUSP00000039586
ENOG410V57G	zyg-11 homolog B (C. elegans)	ENSPTRP00000001279	ENSMUSP00000038478, ENSMUSP00000043844
ENOG410V57F	DnaJ (Hsp40) homolog, subfamily B, member 11	ENSPTRP00000050902	ENSMUSP00000004574
ENOG410V57E	ATP-binding cassette, subfamily B (MDR TAP), member	ENSPTRP00000045311, ENSPTRP00000032398, ENSPTRP00000033133, ENSPTRP00000021540	ENSMUSP00000046177, ENSMUSP00000099770, ENSMUSP00000003717, ENSMUSP00000009058, ENSMUSP00000041204
ENOG410V57D	Histone deacetylase 11	ENSPTRP00000025262	ENSMUSP00000043828
ENOG410V57K	Golgi membrane protein 1	ENSPTRP00000036022	ENSMUSP00000022039
ENOG410V57J	collagen, type IV, alpha	ENSPTRP00000010247, ENSPTRP00000058373, ENSPTRP00000047139	ENSMUSP00000084282, ENSMUSP00000108552, ENSMUSP00000109084, ENSMUSP00000033898, ENSMUSP00000033899, ENSMUSP00000098765
ENOG410V57I	oncoprotein induced transcript 3	ENSPTRP00000004545	ENSMUSP00000009798
ENOG410V57H	coiled-coil and C2 domain containing	ENSPTRP00000052318, ENSPTRP00000018044	ENSMUSP00000030320, ENSMUSP00000046449
ENOG410V57N	nuclear receptor interacting protein 1	ENSPTRP00000023761	ENSMUSP00000051726
ENOG410V57M	ATPase, H transporting, lysosomal 42kDa, V1 subunit	ENSPTRP00000057103, ENSPTRP00000058391	ENSMUSP00000022904, ENSMUSP00000020884
ENOG410V57R	Neuroguidin, EIF4E binding protein	ENSPTRP00000044588	ENSMUSP00000022815
ENOG410V57Q	MON1 homolog	ENSPTRP00000014292, ENSPTRP00000025790	ENSMUSP00000045089, ENSMUSP00000035202
ENOG410V57P	forkhead box	ENSPTRP00000010661	ENSMUSP00000041118, ENSMUSP00000045918
ENOG410V57W	Quiescin Q6 sulfhydryl oxidase	ENSPTRP00000002902, ENSPTRP00000036896	ENSMUSP00000037128, ENSMUSP00000035658
ENOG410V57V	von Willebrand factor A domain containing 7	ENSPTRP00000030699	ENSMUSP00000007245
ENOG410V57U	alkaline ceramidase 1	ENSPTRP00000017621	ENSMUSP00000062037
ENOG410V57T	Olfactory receptor	ENSPTRP00000008344	ENSMUSP00000104791, ENSMUSP00000051239, ENSMUSP00000075248, ENSMUSP00000065626
ENOG410V57Z	Mediator complex subunit	ENSPTRP00000057287, ENSPTRP00000009333	ENSMUSP00000044268, ENSMUSP00000098379
ENOG410V57Y	Gamma-aminobutyric acid (GABA) A receptor	ENSPTRP00000027574, ENSPTRP00000027579, ENSPTRP00000011675, ENSPTRP00000027573, ENSPTRP00000038563, ENSPTRP00000029892, ENSPTRP00000029894	ENSMUSP00000062638, ENSMUSP00000020707, ENSMUSP00000031121, ENSMUSP00000063812, ENSMUSP00000063276, ENSMUSP00000126114, ENSMUSP00000000572, ENSMUSP00000031119
ENOG410V57X	tropomodulin	ENSPTRP00000012098, ENSPTRP00000012097, ENSPTRP00000040338, ENSPTRP00000002175	ENSMUSP00000103402, ENSMUSP00000005769, ENSMUSP00000072087, ENSMUSP00000069956
ENOG410V573	RGP1 retrograde golgi transport homolog (S. cerevisiae)	ENSPTRP00000035783	ENSMUSP00000030190
ENOG410V572	Calcium channel, voltage-dependent, T type, alpha	ENSPTRP00000015972, ENSPTRP00000057773	ENSMUSP00000098127, ENSMUSP00000125063, ENSMUSP00000077586
ENOG410V571	Phospholipase A2-activating protein	ENSPTRP00000035626	ENSMUSP00000102724
ENOG410V570	palmitoyl-protein thioesterase 2	ENSPTRP00000030749	ENSMUSP00000068071
ENOG410V576	zinc finger protein 64 homolog (mouse)	ENSPTRP00000023455	ENSMUSP00000085285
ENOG410V575	Rho GTPase activating protein	ENSPTRP00000037773, ENSPTRP00000029677, ENSPTRP00000007230, ENSPTRP00000028317	ENSMUSP00000091419, ENSMUSP00000033560, ENSMUSP00000095200, ENSMUSP00000075658
ENOG410V574	HECT domain containing E3 ubiquitin protein ligase 4	ENSPTRP00000049901	ENSMUSP00000048345
ENOG410V579	Ring finger protein 145	ENSPTRP00000029866	ENSMUSP00000019333
ENOG410VA86	NADH dehydrogenase ubiquinone flavoprotein 2	ENSPTRP00000016775	ENSMUSP00000121557
ENOG410VA84	Sorting nexin 29	ENSPTRP00000039308	ENSMUSP00000138025
ENOG410VA85	Tetratricopeptide repeat domain 22	ENSPTRP00000001346	ENSMUSP00000035773
ENOG410VA83	TNF receptor-associated factor 3 interacting protein 1	ENSPTRP00000048573	ENSMUSP00000042391
ENOG410VA80	Plasminogen activator, tissue	ENSPTRP00000034599	ENSMUSP00000033941
ENOG410VA81	microfibrillar-associated protein 2	ENSPTRP00000000427	ENSMUSP00000071868
ENOG410VA89	zinc finger, DHHC-type containing 4	ENSPTRP00000032309	ENSMUSP00000001900
ENOG410VA8F	mitochondrial ribosomal protein L15	ENSPTRP00000034687	ENSMUSP00000115512
ENOG410VA8G	Chromosome 2 open reading frame 18	ENSPTRP00000020175	ENSMUSP00000058680
ENOG410VA8D	keratin 77	ENSPTRP00000008500	ENSMUSP00000085311
ENOG410VA8C	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	ENSPTRP00000061203, ENSPTRP00000031668	ENSMUSP00000023830
ENOG410VA8N	post-GPI attachment to proteins 1	ENSPTRP00000021822	ENSMUSP00000095346
ENOG410VA8M	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	ENSPTRP00000005487	ENSMUSP00000095571
ENOG410VA8J	Nucleotide-binding oligomerization domain containing 2	ENSPTRP00000013836	ENSMUSP00000113773
ENOG410VA8K	growth differentiation factor	ENSPTRP00000021778, ENSPTRP00000008614	ENSMUSP00000026408, ENSMUSP00000027269
ENOG410VA8H	kinase 10	ENSPTRP00000025362	ENSMUSP00000108249
ENOG410VA8I	Minichromosome maintenance complex component 5	ENSPTRP00000024625	ENSMUSP00000126135
ENOG410VA8W	mitogen-activated protein kinase 8 interacting protein 3	ENSPTRP00000040605, ENSPTRP00000053801	ENSMUSP00000042271, ENSMUSP00000085683
ENOG410VA8T	Retinal G protein coupled receptor	ENSPTRP00000004704	ENSMUSP00000022338
ENOG410VA8U	GPN-loop GTPase 3	ENSPTRP00000009237	ENSMUSP00000031420
ENOG410VA8S	ADP-ribosylation factor-like	ENSPTRP00000058328	ENSMUSP00000025893
ENOG410VA8P	coiled-coil domain containing 62	ENSPTRP00000009488	ENSMUSP00000091878
ENOG410VA8Z	Potassium channel subfamily V member 1	ENSPTRP00000035085	ENSMUSP00000022967
ENOG410VA8X	Multifunctional protein that plays a central role in the cellular response to oxidative stress. The two major activities of APEX1 in DNA repair and redox regulation of transcriptional factors. Functions as a apurinic apyrimidinic (AP) endodeoxyribonuclease in the DNA base excision repair (BER) pathway of DNA lesions induced by oxidative and alkylating agents. Initiates repair of AP sites in DNA by catalyzing hydrolytic incision of the phosphodiester backbone immediately adjacent to the damage, generating a single-strand break with 5'-deoxyribose phosphate and 3'-hydroxyl ends. Does also incise at AP sites in the DNA strand of DNA RNA hybrids, single-stranded DNA regions of R-loop structures, and single-stranded RNA molecules. Has a 3'-5' exoribonuclease activity on mismatched deoxyribonucleotides at the 3' termini of nicked or gapped DNA molecules during short-patch BER. Possesses a DNA 3' phosphodiesterase activity capable of removing lesions (such as phosphoglycolate) blocking the 3' side of DNA strand breaks. May also play a role in the epigenetic regulation of gene expression by participating in DNA demethylation. Acts as a loading factor for POLB onto non-incised AP sites in DNA and stimulates the 5'-terminal deoxyribose 5'- phosphate (dRp) excision activity of POLB. Plays a role in the protection from granzymes-mediated cellular repair leading to cell death. Also involved in the DNA cleavage step of class switch recombination (CSR). On the other hand, APEX1 also exerts reversible nuclear redox activity to regulate DNA binding affinity and transcriptional activity of transcriptional factors by controlling the redox status of their DNA-binding domain, such as the FOS JUN AP-1 complex after exposure to IR. Involved in calcium-dependent down-regulation of parathyroid hormone (PTH) expression by binding to negative calcium response elements (nCaREs). Together with HNRNPL or the dimer XRCC5 XRCC6, associates with nCaRE, acting as an activator of transcriptional repression. Stimulates the YBX1-mediated MDR1 promoter activity, when acetylated at Lys-6	ENSPTRP00000010344	ENSMUSP00000042602
ENOG410VA8Y	solute carrier family 45 member	ENSPTRP00000028771	ENSMUSP00000022851
ENOG410VHQA	biogenesis of lysosomal organelles complex-1, subunit 3	ENSPTRP00000019123	ENSMUSP00000076624
ENOG410VHQG	Chromosome X open reading frame	ENSPTRP00000043642	ENSMUSP00000052765
ENOG410VMX9	defensin, beta 126	ENSPTRP00000022490	ENSMUSP00000028966
ENOG410VMXZ	long intergenic non-protein coding RNA 675	ENSPTRP00000061361	ENSMUSP00000130452
ENOG410V932	Berardinelli-Seip congenital lipodystrophy 2 (seipin)	ENSPTRP00000006499	ENSMUSP00000127685
ENOG410V931	rho GTPase activating protein	ENSPTRP00000011730	ENSMUSP00000099604
ENOG410V936	nodal homolog (mouse)	ENSPTRP00000004490	ENSMUSP00000039653
ENOG410V934	vacuolar protein sorting 8 homolog (S. cerevisiae)	ENSPTRP00000027011	ENSMUSP00000111055
ENOG410V93G	hydroxylase	ENSPTRP00000005946, ENSPTRP00000008883, ENSPTRP00000009118, ENSPTRP00000005608	ENSMUSP00000006949, ENSMUSP00000037752, ENSMUSP00000000219, ENSMUSP00000020241
ENOG410V93I	mitochondrial ribosome recycling factor	ENSPTRP00000046978	ENSMUSP00000028250
ENOG410V93H	clarin 3	ENSPTRP00000005376	ENSMUSP00000056245
ENOG410V93M	Elongation factor, RNA polymerase II	ENSPTRP00000018273, ENSPTRP00000029254	ENSMUSP00000001583, ENSMUSP00000091163
ENOG410VI1E	Chromosome 10 open reading frame 10	ENSPTRP00000050679	ENSMUSP00000070203
ENOG410VI1F	Nanos homolog 3 (Drosophila)	ENSPTRP00000018037	ENSMUSP00000067385
ENOG410VI1M	Jumping translocation breakpoint	ENSPTRP00000002303	ENSMUSP00000029546
ENOG410VI1Q	Unknown	ENSPTRP00000060688	ENSMUSP00000023728
ENOG410VI15	hematological and neurological expressed 1	ENSPTRP00000042809	ENSMUSP00000021083
ENOG410VI14	protein phosphatase 1, regulatory (inhibitor) subunit 14D	ENSPTRP00000011833	ENSMUSP00000075453
ENOG410VI17	microsomal glutathione S-transferase 2	ENSPTRP00000028250	ENSMUSP00000096705
ENOG410V6N3	Surfeit 4	ENSPTRP00000036826	ENSMUSP00000015011
ENOG410V6N2	In concert with LBP, binds to monomeric lipopolysaccharide and delivers it to the MD-2 TLR4 complex, thereby mediating the innate immune response to bacterial lipopolysaccharide (LPS). Acts via MyD88, TIRAP and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response. Up-regulates cell surface molecules, including adhesion molecules (By similarity)	ENSPTRP00000047976	ENSMUSP00000056669
ENOG410V6N1	sh2 domain containing	ENSPTRP00000001675, ENSPTRP00000036571	ENSMUSP00000029766, ENSMUSP00000073866
ENOG410V6N0	solute carrier family 25, member 43	ENSPTRP00000060291	ENSMUSP00000035392
ENOG410V6N7	LMBR1 domain containing 2	ENSPTRP00000028798	ENSMUSP00000087858
ENOG410V6N6	signal transducer and activator of transcription	ENSPTRP00000015668, ENSPTRP00000008702	ENSMUSP00000089708, ENSMUSP00000102980, ENSMUSP00000004143
ENOG410V6N5	Nucleoside diphosphate kinase	ENSPTRP00000009382, ENSPTRP00000015997	ENSMUSP00000117022, ENSMUSP00000132590, ENSMUSP00000021217
ENOG410V6N9	neutral cholesterol ester hydrolase 1	ENSPTRP00000026895	ENSMUSP00000045864
ENOG410V6N8	BUD31 homolog (S. cerevisiae)	ENSPTRP00000033279	ENSMUSP00000125590
ENOG410V6NC	Testis expressed 2	ENSPTRP00000016202	ENSMUSP00000041985
ENOG410V6NB	Troponin T type 2 cardiac	ENSPTRP00000043316	ENSMUSP00000137093
ENOG410V6NA	General transcription factor IIF, polypeptide 1	ENSPTRP00000017625	ENSMUSP00000002733
ENOG410V6NG	poly(A) binding protein, cytoplasmic	ENSPTRP00000023243, ENSPTRP00000039458, ENSPTRP00000041427	ENSMUSP00000079967, ENSMUSP00000079070, ENSMUSP00000096701, ENSMUSP00000001809
ENOG410V6NF	Cytotoxic T-lymphocyte-associated protein 4	ENSPTRP00000021945	ENSMUSP00000027164
ENOG410V6NE	solute carrier family 4	ENSPTRP00000025365, ENSPTRP00000022153, ENSPTRP00000040507, ENSPTRP00000015769, ENSPTRP00000034034, ENSPTRP00000049088, ENSPTRP00000008462, ENSPTRP00000027745	ENSMUSP00000006749, ENSMUSP00000108099, ENSMUSP00000023776, ENSMUSP00000121744, ENSMUSP00000058313, ENSMUSP00000078972, ENSMUSP00000041007, ENSMUSP00000116747
ENOG410V6NK	DnaJ (Hsp40) homolog, subfamily C, member 12	ENSPTRP00000004391	ENSMUSP00000041298
ENOG410V6NJ	POU class 6 homeobox	ENSPTRP00000032636, ENSPTRP00000008452	ENSMUSP00000134760, ENSMUSP00000114173
ENOG410V6NI	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	ENSPTRP00000039960	ENSMUSP00000032891
ENOG410V6NH	lin-9 homolog (C. elegans)	ENSPTRP00000051097	ENSMUSP00000082959
ENOG410V6NN	RNA binding motif, single stranded interacting protein	ENSPTRP00000008683, ENSPTRP00000025374, ENSPTRP00000061214	ENSMUSP00000131306, ENSMUSP00000131371, ENSMUSP00000089664
ENOG410V6NR	Hydroxymethylbilane synthase	ENSPTRP00000007486	ENSMUSP00000076575
ENOG410V6NQ	progastricsin (pepsinogen C)	ENSPTRP00000031028	ENSMUSP00000024782
ENOG410V6NP	ribosomal protein S7	ENSPTRP00000016378	ENSMUSP00000053033
ENOG410V6NW	protein tyrosine phosphatase, receptor type, N	ENSPTRP00000048736	ENSMUSP00000027404, ENSMUSP00000064046
ENOG410V6NV	PhosphoLipase D family member	ENSPTRP00000040387, ENSPTRP00000003665	ENSMUSP00000069326, ENSMUSP00000112942, ENSMUSP00000067002
ENOG410V6NU	marginal zone B and B1 cell-specific protein	ENSPTRP00000040239	ENSMUSP00000025211
ENOG410V6NT	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins	ENSPTRP00000025357	ENSMUSP00000022310
ENOG410V6NZ	2-oxoglutarate and iron-dependent oxygenase domain containing 3	ENSPTRP00000044063	ENSMUSP00000026169
ENOG410V6NX	neuromedin U receptor	ENSPTRP00000022274, ENSPTRP00000029793	ENSMUSP00000044718, ENSMUSP00000027440
ENOG410VBQF	Zinc finger protein 668	ENSPTRP00000013715	ENSMUSP00000056105
ENOG410VBQG	chromosome 15 open reading frame 27	ENSPTRP00000051345	ENSMUSP00000034862
ENOG410VBQD	SUMO1 sentrin specific peptidase	ENSPTRP00000026176, ENSPTRP00000031374	ENSMUSP00000086779, ENSMUSP00000047220
ENOG410VBQC	Programmed cell death 1 ligand 2	ENSPTRP00000035506	ENSMUSP00000108195
ENOG410VBQA	chromosome 12 open reading frame 56	ENSPTRP00000008795	ENSMUSP00000113963
ENOG410VBQN	RFX family member 8, lacking RFX DNA binding domain	ENSPTRP00000021057	ENSMUSP00000121212
ENOG410VBQJ	NK3 homeobox 1	ENSPTRP00000034386	ENSMUSP00000022646
ENOG410VBQK	chromosome 6 open reading frame 136	ENSPTRP00000030598	ENSMUSP00000116278
